#KEY	SRR11728040_2	SRR11728041_2	SRR11728042_2	SRR11728043_2
54958	1448	1020	277	377
54959	0	0	0	0
5496	6964	5253	3154	4693
54960	874	616	722	1080
54961	367	287	57	99
54962	428	380	226	281
54963	2617	1834	1207	1773
54964	60	55	76	70
54965	860	691	379	537
54967	2	2	0	0
54968	1835	1007	1393	2010
54969	702	583	250	458
54970	77	68	63	95
54971	1262	983	1476	2229
54972	38	45	21	49
54973	4570	3365	2491	3663
54974	1655	997	1273	1885
54976	1227	734	122	253
54977	1852	1293	1575	2072
54978	1623	1256	1046	1609
54979	0	0	0	0
5498	843	577	238	391
54980	263	216	358	451
54981	592	576	483	725
54982	3680	3012	1053	1537
54984	791	561	614	1075
54985	647	464	162	249
54986	256	266	397	482
54987	1075	807	687	880
54988	0	0	0	0
54989	3238	2611	4635	5718
5499	12833	8295	5111	7683
54991	958	809	541	638
54993	247	113	108	143
54994	3005	2382	1725	2437
54995	260	186	392	495
54996	0	0	0	4
54997	2828	1962	142	211
54998	4921	3157	2252	3407
55	132	107	18	20
550	6501	4682	4706	6737
5500	13131	9914	8091	10830
55000	7059	7877	10116	12244
55001	0	0	0	0
55002	5696	4527	2641	3548
55003	903	668	773	1086
55004	1514	1067	1292	1613
55005	1057	692	565	753
55006	764	519	457	707
55007	412	407	183	258
55008	127	140	110	173
55009	1732	1085	967	1359
5501	7212	5327	3651	4895
55010	887	582	234	299
55011	4210	2964	1992	3065
550112	198	141	423	487
55012	1860	1405	1357	1958
55013	1057	765	190	237
55014	892	932	609	823
55015	1404	1330	1488	2043
55016	63	64	132	127
55017	1222	884	981	1262
55018	0	0	0	0
5502	0	0	0	0
55020	644	534	386	633
55022	5	9	37	49
55023	2294	2417	1840	2236
55024	0	6	2	0
55025	0	0	0	0
55026	10	4	0	0
55027	637	395	263	424
55028	501	354	354	425
55030	1662	1321	994	1270
55031	3061	3017	3195	3899
55032	1148	859	1105	1162
55033	136	113	264	380
55034	0	3	0	1
55035	1284	1265	1500	1987
55036	162	173	294	299
55037	2067	1814	1616	1886
55038	3616	2673	2266	3330
55039	142	129	167	270
5504	2545	1813	2342	3160
55040	0	2	10	2
55041	19327	16564	20170	25761
55048	3171	2688	3228	4271
55049	3190	2265	1905	3230
5505	0	0	0	0
55051	410	394	469	506
55052	1958	1492	1760	2440
55054	788	757	860	1130
55055	2742	2004	1242	1794
55056	1292	1577	1907	2183
55057	6	0	0	2
5506	0	0	0	0
55061	67	68	19	26
55062	2546	2454	2332	3224
55063	356	298	202	278
550631	123	140	192	246
55064	8	3	2	3
550643	218	139	217	398
55065	2	2	0	1
55066	1316	1491	1413	1596
55068	4	0	0	2
55069	4332	3250	3701	4539
5507	0	0	0	0
55070	170	178	62	107
55071	638	381	233	336
55072	1357	1143	1140	1598
55073	283	271	103	96
55074	14	4	16	10
55075	1032	913	276	353
55076	81	94	162	254
55079	0	0	0	0
55080	438	347	578	681
55081	714	576	1141	1524
55082	9118	8855	11276	14994
55083	10	13	10	7
55084	113	121	221	256
55086	0	0	0	0
55088	291	365	427	486
55089	0	0	0	0
5509	362	273	406	572
55090	368	207	142	173
55092	556	441	526	650
55093	390	405	378	524
55094	522	446	441	465
55095	6913	5896	4902	6597
55096	216	300	392	443
551	0	0	0	2
5510	1483	1019	828	1186
55100	1437	1109	663	990
55101	2918	2067	1699	2339
55102	1129	1367	1256	1485
55103	207	159	62	94
55105	541	423	644	968
55106	390	246	220	312
55107	18	12	2	9
55108	5837	5351	7296	9023
55109	1184	880	825	1016
5511	2212	1878	1786	2536
55110	742	614	378	684
55111	1559	1266	548	856
55112	659	602	422	499
55113	442	274	184	219
55114	1898	1507	621	1010
55116	1418	1077	639	919
55117	0	0	0	0
55118	30	41	19	39
55119	4197	3871	4302	5784
55120	651	487	474	579
55122	4437	3346	4580	6560
55124	15	8	2	8
55125	1110	1236	739	728
55127	5078	4694	5572	6727
55128	18	6	8	10
55129	1203	927	772	1124
55130	36	16	8	20
55131	1631	1323	1230	1735
55132	976	674	653	1041
55133	941	853	777	942
55135	695	506	286	557
55137	0	0	0	0
55138	32	18	8	16
55139	1663	1331	1727	2265
5514	0	2	0	0
55140	1877	1596	1308	1742
55142	3413	2461	1448	2120
55143	3795	3092	564	1009
55144	2405	1690	2280	3115
55145	765	592	1099	1348
55146	1397	1014	814	1115
55147	3009	2388	2399	3189
55148	2536	1952	1217	1687
55149	613	459	400	512
5515	9213	6412	6863	9302
55150	28	25	25	25
55151	1677	1205	1269	1711
55152	1119	888	657	788
55153	1203	942	1184	1716
55154	328	328	410	620
55156	1892	1414	1254	1588
55157	3200	2450	750	1117
55159	2942	2283	1437	1837
5516	3023	2179	2189	3210
55160	231	221	25	24
55161	4173	3285	4512	5883
55163	1020	1002	1186	1455
55164	1815	1477	1398	1927
55165	3692	2592	423	629
55166	973	495	359	509
55167	1659	1247	2631	3232
55168	1591	1044	815	1238
55170	105	80	80	61
55171	266	209	281	338
55172	214	144	162	198
55173	3667	2552	2731	3775
55174	3623	2634	1995	2699
55175	75	92	106	96
55176	637	707	888	1090
55177	2162	1833	1835	2348
55178	579	430	340	492
55179	0	0	0	4
5518	18335	12803	10156	14773
55180	716	517	952	1070
55181	273	156	230	265
55182	3653	3468	2074	2755
55183	3357	3333	3223	3551
55184	104	85	90	96
55186	2286	2277	2785	3409
55187	2800	3129	1985	1944
55188	316	221	265	357
5519	1480	1259	742	930
55190	0	0	0	0
55191	2556	2436	2486	3283
55192	756	532	336	593
55193	4863	4518	3170	3799
55194	189	147	188	189
55195	0	0	0	0
55196	4213	4334	3206	3334
55197	2514	2184	2681	3208
55198	706	582	726	1005
55199	45	22	20	24
552	0	0	0	0
5520	5418	4203	3581	5250
55200	28	42	17	32
55201	9808	7246	4051	6247
55203	86	71	23	34
55204	539	429	516	624
55205	0	0	2	4
55206	3212	2970	3164	3684
55207	17631	13174	18167	23530
55208	825	777	617	915
55209	5065	5556	5396	6474
5521	71	98	34	22
55210	2037	1472	697	1029
55211	0	0	0	0
55212	553	396	368	477
55213	1633	1201	665	853
55214	0	0	0	0
55215	6880	5922	2314	3340
55216	1454	1162	1349	1565
55217	970	814	704	911
55218	422	409	356	506
55219	1412	1212	980	1270
5522	0	4	4	4
55220	0	0	0	0
55222	110	79	4	10
55223	391	297	109	131
55224	0	0	0	0
55225	152	102	45	37
55226	2210	1863	1221	1888
55227	122	83	43	47
55228	0	2	0	0
55229	1108	1034	714	982
5523	5	8	16	16
55230	1409	1356	1076	1420
55231	0	0	2	0
55233	5102	3769	4791	5897
55234	2948	2351	2008	2745
55236	2128	1789	2011	2805
55237	0	0	0	0
55238	475	423	532	593
55239	1145	963	1189	1565
5524	6531	4787	1907	2632
55240	1547	1143	645	914
55243	0	0	0	0
55244	0	0	0	0
55245	2460	2020	1755	2531
55246	2115	1579	1451	2135
55247	475	343	52	68
55248	1315	970	1313	1811
55249	4431	3316	3419	4510
5525	3937	2979	1363	1911
55250	1979	1535	1440	1909
55251	1519	1526	1017	1357
55252	2516	2607	2463	2389
55253	1093	886	676	801
55254	3307	2893	4938	6366
55255	1027	782	570	900
55256	6243	3893	2771	3724
55257	2071	1626	1108	1499
55258	2	3	12	7
55259	0	0	0	6
5526	999	758	1279	1828
55260	193	214	95	112
55262	1528	1276	1449	2083
55266	477	380	192	283
55267	0	0	0	0
55268	8	5	11	4
55269	3196	2396	2267	3143
5527	7332	5632	4604	6097
55270	1497	1045	997	1559
55272	2084	1456	2682	3924
55273	0	0	0	0
55274	1736	1527	782	1050
55275	1353	1172	1387	1571
55276	3236	2113	1936	2565
55277	925	709	580	824
55278	834	548	471	717
55279	1162	847	1034	1404
5528	3802	2676	1126	1772
55280	1864	1178	1075	1724
55281	489	444	590	679
55282	0	0	0	0
55283	0	0	0	0
55284	2576	1876	2474	3276
55285	479	501	480	537
55286	10	10	28	30
55287	2	0	0	0
55288	2037	1739	885	1165
552889	2802	2611	3521	4703
55289	52	15	37	29
552891	0	0	0	0
5529	1552	1064	980	1226
55290	904	616	1024	1484
552900	482	213	149	229
55291	6449	6247	10280	13104
55293	605	615	730	799
55294	720	649	673	973
55295	272	201	150	170
55296	197	174	178	190
55297	1155	961	750	989
55298	526	370	382	565
55299	1263	1039	868	1003
553	0	0	0	0
