#KEY	SRR5045034_2	SRR5045035_2	SRR5045036_2	SRR5045037_2	SRR5045038_2	SRR5045039_2
Geneid	SRR5045034	SRR5045035	SRR5045036	SRR5045037	SRR5045038	SRR5045039
gene:SMU_1112c	2413	2461	2090	1621	1582	1944
gene:SMU_1113	8310	7242	6307	6792	4413	4923
gene:SMU_1114	31663	28345	27648	31576	27026	35436
gene:SMU_1115	157249	147493	186784	154100	121230	114158
gene:SMU_1116c	76112	42365	41331	27004	25360	31885
gene:SMU_1117	70647	30561	50641	33031	37338	26901
gene:SMU_1118c	6949	8119	5511	5278	3512	4478
gene:SMU_1119c	4372	5243	3527	4098	2459	2178
gene:SMU_1120	9672	12511	8279	8184	6587	7116
gene:SMU_1121c	11128	12170	8789	10983	8333	10982
gene:SMU_1122	3329	4124	2610	3786	3675	4982
gene:SMU_1123	7563	9748	6335	9222	12853	17971
gene:SMU_1124	4361	4290	2630	2654	2749	2853
gene:SMU_1125c	1836	1790	1179	973	1467	1260
gene:SMU_1126	3663	2112	2446	1896	2536	4198
gene:SMU_1127	16096	32680	16780	8825	14549	15195
gene:SMU_1128	30963	26019	20725	16546	12465	10335
gene:SMU_1129	21695	16459	13874	12038	9469	5576
gene:SMU_112c	1713	2026	1114	672	801	1102
gene:SMU_113	227	326	259	254	225	135
gene:SMU_1131c	9711	6789	5536	6640	6219	1484
gene:SMU_1132	33299	70180	33384	18939	15047	18884
gene:SMU_1133	1377	3348	1258	1187	689	1138
gene:SMU_1134c	2037	4430	2084	1595	991	1555
gene:SMU_1135	2164	4664	2221	1634	928	1623
gene:SMU_1136	3315	6175	3291	2133	1265	2013
gene:SMU_1137	3089	5555	3085	2176	1345	1838
gene:SMU_1138	3490	6567	3639	2386	1711	2120
gene:SMU_1139c	3377	5391	3612	2006	1318	1511
gene:SMU_114	529	594	640	553	423	240
gene:SMU_1140c	3681	5835	3764	2327	1530	1586
gene:SMU_1141c	971	1430	925	652	569	558
gene:SMU_1142c	7686	12722	6736	5635	6210	8488
gene:SMU_1143c	5700	8570	5165	2756	2083	2069
gene:SMU_1144	4337	6379	4396	3023	2673	2431
gene:SMU_1145c	2188	2743	1999	1318	1195	1623
gene:SMU_1146c	1085	1485	950	831	1015	1053
gene:SMU_1147c	99	116	65	20	18	44
gene:SMU_1148	406	508	298	231	136	160
gene:SMU_1149	392	505	296	252	177	86
gene:SMU_115	243	235	258	210	162	126
gene:SMU_1150	777	797	684	512	413	341
gene:SMU_1151c	10416	12196	8701	7298	5480	5438
gene:SMU_1152c	1583	1865	1122	725	679	651
gene:SMU_1153c	3295	3809	2124	2067	1541	1600
gene:SMU_1154c	804	850	482	507	348	466
gene:SMU_1155	0	0	0	0	0	0
gene:SMU_1156c	41	54	39	31	40	34
gene:SMU_1157c	9268	9777	6805	3168	3827	6628
gene:SMU_1158c	6623	6067	5024	3958	3082	4204
gene:SMU_1159c	1051	940	749	671	724	732
gene:SMU_116	687	780	850	593	521	397
gene:SMU_1160c	4411	3769	3027	2104	3398	4027
gene:SMU_1161c	3069	2550	2324	1889	3368	3258
gene:SMU_1163c	4691	7977	3914	3189	2366	2066
gene:SMU_1164c	3729	6800	3426	2850	2671	2515
gene:SMU_1165c	888	1237	781	980	1356	1942
gene:SMU_1166c	3700	4970	3080	2150	1736	1515
gene:SMU_1167c	579	800	541	333	235	204
gene:SMU_1168	3016	3961	2608	1538	1541	1194
gene:SMU_1169c	3165	4541	3070	1823	1664	1895
gene:SMU_1170	2777	3686	2521	1644	1607	2092
gene:SMU_1171c	2542	4035	2325	1692	1228	1433
gene:SMU_1172c	6340	10942	4914	3455	2571	3599
gene:SMU_1173	9897	16111	8197	5240	3201	3221
gene:SMU_1174	11185	19894	7956	4996	3518	3328
gene:SMU_1175	1144	4439	2462	1862	1153	1038
gene:SMU_1176	5063	8910	6389	3748	3019	2906
gene:SMU_1177c	6138	11112	5035	4553	4960	7776
gene:SMU_1178c	3862	7664	3307	2361	1972	3163
gene:SMU_1179c	3467	7684	3528	1952	1607	2506
gene:SMU_117c	1074	1586	1018	522	597	817
gene:SMU_1180	1621	3699	1589	1217	1592	2181
gene:SMU_1182	3076	3485	2775	2789	2337	2660
gene:SMU_1183	1063	1324	1015	975	680	717
gene:SMU_1184c	3534	4365	3472	2799	2810	3458
gene:SMU_1185	907	969	984	1676	1132	1611
gene:SMU_1187	8468	13614	7738	6583	6020	5741
gene:SMU_1188	9899	11924	9391	5331	7981	8468
gene:SMU_1189c	2695	3290	2788	1834	1077	787
gene:SMU_118c	1633	2620	1469	1282	1169	1418
gene:SMU_119	1060	1484	1010	1058	504	549
gene:SMU_1190	73946	90745	81844	67862	43011	40145
gene:SMU_1191	60516	71746	68038	54298	34620	27998
gene:SMU_1192	36034	27740	28439	32593	39041	45548
gene:SMU_1193	6099	8154	5165	4217	2655	3429
gene:SMU_1194	7672	10817	7349	5865	3573	5092
gene:SMU_1195	7687	10962	7344	3563	2503	5375
gene:SMU_1196c	7978	11834	7597	5204	4054	5631
gene:SMU_1197	3886	6576	3605	2656	2124	3416
gene:SMU_12	6825	12014	5543	3922	4026	7363
gene:SMU_120	6255	16663	7730	8976	14240	7021
gene:SMU_1200	77555	118845	70102	55283	36496	18978
gene:SMU_1201c	908	2050	816	357	599	855
gene:SMU_1203	14610	20563	18340	12620	6999	7549
gene:SMU_1204	11438	20207	9456	6898	4625	4579
gene:SMU_1205c	1959	3747	1582	562	571	814
gene:SMU_1206c	2428	4319	2127	1101	801	1025
gene:SMU_1207	2716	4784	2595	1666	1018	1144
gene:SMU_1208c	3409	5860	3504	1727	1056	1143
gene:SMU_1209c	4611	7311	4681	2209	1847	1914
gene:SMU_121	3978	9672	4100	2082	1243	873
gene:SMU_1210	4846	9887	5511	4033	2746	2598
gene:SMU_1211	3747	5030	3222	2843	3410	6710
gene:SMU_1213c	63868	49807	55342	58196	43946	54337
gene:SMU_1214	22704	19585	20613	22120	17406	19984
gene:SMU_1215	11273	10977	10651	10139	9884	12614
gene:SMU_1216c	6795	8343	7201	5705	5071	6708
gene:SMU_1217c	11202	10051	6740	4445	5523	3475
gene:SMU_1218	6369	13252	4524	3440	2590	2863
gene:SMU_1219c	1839	4164	1385	707	447	656
gene:SMU_1220c	8501	17497	5674	5437	5137	5642
gene:SMU_1221	12517	25999	9002	5996	3736	4738
gene:SMU_1222	9772	20370	7199	5155	3274	3385
gene:SMU_1223	5288	12081	3977	3022	1869	1282
gene:SMU_1224	6403	14674	3954	2474	1604	996
gene:SMU_1225	9884	12025	7777	6196	4912	5951
gene:SMU_1226c	10949	8869	6698	7042	6393	7760
gene:SMU_1227	14232	11670	9168	9978	6054	7219
gene:SMU_1228c	12356	9363	7953	8197	5899	5294
gene:SMU_1229	12280	9050	7966	8027	4618	4208
gene:SMU_123	33448	43781	26132	21014	15253	14379
gene:SMU_1230c	6680	5104	4991	4496	2996	2812
gene:SMU_1231c	4588	3456	2949	2044	1413	1714
gene:SMU_1232c	3140	2513	2602	2309	1573	1464
gene:SMU_1233	16501	12289	13272	11986	7640	7139
gene:SMU_1234	3666	2565	2841	3490	2123	1901
gene:SMU_1235	18672	13784	15521	11297	9342	10522
gene:SMU_1236c	4853	3891	3763	2492	1962	2335
gene:SMU_1237c	1262	1077	918	532	534	522
gene:SMU_1238c	5783	6332	4683	4793	3566	3682
gene:SMU_1239	12077	12070	9952	9965	6267	4698
gene:SMU_124	25190	15836	16231	13025	12927	18534
gene:SMU_1240c	4818	4585	4347	3251	2668	1878
gene:SMU_1241	9867	9899	8805	6989	5023	5582
gene:SMU_1243	7990	8273	8138	4259	3190	3921
gene:SMU_1245c	12333	10522	11521	9511	9869	13531
gene:SMU_1246c	5135	3651	4705	2375	1960	2754
gene:SMU_1247	158351	188583	196230	159817	111459	117792
gene:SMU_1249c	5790	10474	4645	3356	4971	3451
