#KEY	SRR10084977_2	SRR10084978_2	SRR10084979_2	SRR10084980_2	SRR10084981_2	SRR10084982_2	SRR10084983_2	SRR10084984_2	SRR10084985_2	SRR10084986_2	SRR10084987_2	SRR10084988_2	SRR10084989_2	SRR10084990_2	SRR10084991_2	SRR10084992_2	SRR10084993_2	SRR10084994_2
79577	2571	1862	2819	3332	2346	3099	3834	2587	3288	2388	2012	3198	3162	3873	2992	3517	2438	2386
79581	7623	7146	6397	6236	6532	6530	7040	5608	5656	4454	3801	4099	4623	4037	7423	6439	7531	5165
79582	734	626	1354	877	843	1166	1179	886	1286	748	707	1461	900	614	1468	937	841	1174
79583	489	510	2582	627	513	1726	727	585	699	356	422	1179	754	459	3035	784	598	1520
79585	0	0	0	0	0	2	0	0	0	0	0	0	1	0	0	0	0	0
79586	36603	38431	24501	32515	39282	23027	37696	32340	22908	26380	21264	19071	22312	11694	37520	31330	41029	27591
79587	2002	1823	2345	1935	2293	2359	2161	2379	2780	1596	1721	2231	1890	1524	2463	1980	2028	1303
79589	325	1532	66	484	3376	216	225	1228	789	103	886	394	595	1291	87	693	1011	39
79590	1938	1446	1687	2160	2098	1553	2913	2102	1908	1872	1463	1621	1829	702	1873	1699	2028	1488
79591	1763	1485	2308	1926	1660	2082	2577	1641	2175	1917	1214	2433	2085	2177	2036	2069	1747	1669
79594	3918	2582	2998	3883	2949	3442	5115	3603	3937	3208	2572	3586	3531	2553	3984	3556	3318	2784
79595	1847	1630	3776	2077	2025	3594	2710	2540	2624	1854	1499	3659	2723	3142	3363	2759	2185	2507
79596	559	361	1177	599	495	959	800	529	908	641	444	825	707	779	811	842	520	979
79598	815	537	1806	1175	662	1643	1128	621	888	834	614	2353	1379	1572	1758	1424	785	1483
796	0	0	0	0	0	0	0	0	1	8	0	0	0	0	0	0	0	0
79600	679	782	1538	776	1093	995	782	1154	868	647	895	1160	899	773	1792	1310	1067	889
79602	2829	2975	4512	3303	4994	4383	4183	4487	4719	2591	2832	4959	3851	4862	4556	4421	3437	2947
79603	2370	2040	2829	2360	2587	2782	3517	3146	2931	2254	2469	3535	2567	1907	3160	2703	2593	2699
79605	1833	394	3575	1238	411	2324	2095	293	765	1378	152	3050	631	86	2830	815	267	3230
79607	947	834	1321	1145	1062	1095	1366	1370	1130	853	922	1156	1065	1014	1421	947	1299	859
79608	378	33	275	253	51	111	371	47	158	302	74	493	193	72	366	159	67	534
79609	335	301	398	386	275	519	327	339	337	235	246	378	310	288	427	295	465	355
79611	834	1204	794	1099	1478	751	1544	1981	1341	892	1093	1122	1542	2114	772	2081	1745	564
79612	538	510	1151	730	700	1084	652	588	756	428	511	991	773	709	1245	780	730	734
79613	711	811	1122	1011	1020	934	747	1068	730	563	672	1324	1100	1575	974	1691	1144	907
79616	1274	1212	1551	1094	1268	1480	1460	1334	1748	1077	938	1686	1186	991	1190	1267	1190	700
79618	3784	2288	3454	3931	2348	3376	6114	2612	4910	4746	1882	4638	3712	6291	3758	3970	2546	2495
79621	844	599	1000	1051	942	1178	1494	871	1267	841	692	860	1099	488	1031	998	956	629
79622	1566	1000	2468	1779	1263	2702	1603	1484	1579	1230	1211	1864	1443	608	2486	1278	1307	1437
79623	146	455	355	82	583	531	193	499	281	115	280	553	189	702	303	318	599	495
79624	1010	861	2873	1291	1236	1765	1333	1176	2282	836	855	2105	1286	1218	1453	1308	999	1009
79625	437	237	1622	421	323	1792	408	521	980	329	328	3343	240	658	1507	363	380	1530
79626	7	4	4	0	0	42	1	0	120	0	0	0	16	0	10	0	0	0
79627	1715	3855	2317	3016	4732	2732	1235	5190	3194	553	3873	1945	5744	9271	3835	5397	6448	1564
79628	312	281	12	375	205	77	362	682	264	203	545	123	588	382	21	547	352	36
79629	564	587	495	581	787	487	946	726	795	579	575	586	362	271	547	496	728	417
79630	95	148	245	113	235	258	223	290	295	146	252	310	216	192	403	160	328	334
79631	1513	882	1670	1557	1193	1623	2240	1475	1709	1332	1127	1745	1836	1789	1507	1841	1226	1210
79632	215	134	639	287	187	479	489	251	364	368	186	918	231	34	805	229	123	1029
79633	4033	7110	7821	6970	9704	9111	3117	7464	4125	1917	4426	7145	8574	22971	8866	12204	11187	5664
79634	1080	914	1354	1580	1130	1443	1666	1239	1493	1190	897	1996	1458	1265	1737	1681	1147	1517
79635	242	176	283	278	241	327	443	250	308	325	202	304	390	200	325	316	278	199
79637	888	693	932	751	698	951	977	929	747	497	639	741	698	521	916	772	876	665
79639	338	323	526	318	538	367	572	434	410	346	390	514	261	98	591	253	504	408
79640	967	1099	1524	1229	1342	1446	978	1451	1239	686	953	1066	1488	2018	1622	1652	1431	1138
79641	5346	3736	2974	5223	3856	3155	5782	4502	4651	3952	3194	5242	4723	1945	3667	4686	4430	3505
79642	436	473	519	660	574	560	669	511	1023	273	349	402	522	591	822	618	533	486
79643	2398	1957	2805	2235	2175	2791	2222	2443	2477	1737	1672	2501	2013	1083	3164	2337	2467	2202
79644	631	819	902	710	1304	1214	891	1104	1321	528	705	850	800	839	971	988	879	607
79645	0	0	194	0	6	206	2	0	29	2	0	46	3	30	159	5	6	86
79646	2603	2109	3988	3858	2907	4277	4501	2930	3350	2612	1930	5929	3296	5841	3700	4116	2611	3782
79647	7176	3841	8377	7878	4292	7319	11598	6274	8990	7625	4289	9800	5766	3559	8419	6070	4491	6630
79648	617	490	1069	865	615	982	922	755	808	509	576	1251	846	879	976	991	642	830
79649	570	95	864	577	131	967	618	170	1072	302	95	826	581	278	907	702	154	548
7965	1655	775	1401	1847	946	1363	2230	1111	1707	1522	889	1365	1360	546	1252	1346	1029	825
79650	3337	1924	3356	3472	2080	3397	3968	2425	3480	2599	1510	3457	2547	2602	3028	3398	2346	2344
79651	893	1195	481	1100	1142	781	836	844	1155	294	769	570	1069	832	626	1733	1221	403
79652	377	1425	696	336	1674	896	841	1191	1362	441	651	579	787	644	687	1136	1669	457
79654	3665	3320	3425	4100	3376	2910	3939	3649	3244	2466	2290	3502	3650	4069	3501	4519	4252	2969
79656	99	179	1090	155	291	1374	286	240	511	203	125	1341	215	98	936	190	253	1154
79657	1333	947	2032	1693	1073	1600	2022	1471	1804	1303	771	1797	1585	1199	1985	1695	1149	1303
79658	2118	999	738	2194	1049	1210	3080	1881	2165	1892	1162	1330	2248	1109	1098	2341	1393	768
79659	843	1651	2484	1189	2118	2515	802	2707	1050	512	1760	1588	2068	4244	2913	2675	2782	1315
79660	4993	2834	1609	4645	3451	2356	10241	2997	6625	7606	2024	3507	5458	5104	1678	4663	3550	1547
79661	1057	627	435	1087	642	548	772	650	489	631	396	519	738	588	588	702	800	545
79663	212	168	376	211	199	303	294	293	335	157	255	209	280	203	336	242	249	232
79664	1217	1365	2911	1632	1731	2974	1923	1917	2184	1087	1124	2181	2416	2161	2707	2266	1681	1498
79665	1868	1542	5710	2528	2007	4786	2628	2839	3036	1767	1970	4175	2771	2813	5794	3037	2440	3456
79666	564	430	589	801	659	744	1004	597	941	650	373	734	600	606	575	610	541	441
