Geneid	SRR11357516
gene:ECOLIN_02175	2
gene:ECOLIN_02180	0
gene:ECOLIN_02185	997
gene:ECOLIN_02190	571
gene:ECOLIN_02195	402
gene:ECOLIN_02200	606
gene:ECOLIN_02205	1341
gene:ECOLIN_02210	1275
gene:ECOLIN_02215	12
gene:ECOLIN_02220	323
gene:ECOLIN_02225	423
gene:ECOLIN_02230	483
gene:ECOLIN_02235	60
gene:ECOLIN_02240	46
gene:ECOLIN_02245	332
gene:ECOLIN_02250	254
gene:ECOLIN_02255	146
gene:ECOLIN_02260	989
gene:ECOLIN_02265	167
gene:ECOLIN_02270	270
gene:ECOLIN_02275	352
gene:ECOLIN_02280	350
gene:ECOLIN_02285	480
gene:ECOLIN_02290	203
gene:ECOLIN_02295	341
gene:ECOLIN_02300	159
gene:ECOLIN_02305	272
gene:ECOLIN_02310	274
gene:ECOLIN_02315	312
gene:ECOLIN_02320	177
gene:ECOLIN_02325	423
gene:ECOLIN_02330	606
gene:ECOLIN_02335	563
gene:ECOLIN_02340	2624
gene:ECOLIN_02345	345
gene:ECOLIN_02350	211
gene:ECOLIN_02355	384
gene:ECOLIN_02360	123
gene:ECOLIN_02365	60
gene:ECOLIN_02370	11
gene:ECOLIN_02375	18
gene:ECOLIN_02380	38
gene:ECOLIN_02385	33
gene:ECOLIN_02390	0
gene:ECOLIN_02395	61
gene:ECOLIN_02400	417
gene:ECOLIN_02405	426
gene:ECOLIN_02410	169
gene:ECOLIN_02415	21
gene:ECOLIN_02420	504
gene:ECOLIN_02425	840
gene:ECOLIN_02430	1149
gene:ECOLIN_02435	1105
gene:ECOLIN_02440	220
gene:ECOLIN_02445	274
gene:ECOLIN_02450	986
gene:ECOLIN_02455	414
gene:ECOLIN_02460	489
gene:ECOLIN_02465	214
gene:ECOLIN_02470	650
gene:ECOLIN_02475	534
gene:ECOLIN_02480	1086
gene:ECOLIN_02485	1383
gene:ECOLIN_02490	170
gene:ECOLIN_02495	251
gene:ECOLIN_02500	155
gene:ECOLIN_02505	214
gene:ECOLIN_02510	1025
gene:ECOLIN_02515	729
gene:ECOLIN_02520	61
gene:ECOLIN_02525	37
gene:ECOLIN_02530	3318
gene:ECOLIN_02535	51
gene:ECOLIN_02540	637
gene:ECOLIN_02545	11333
gene:ECOLIN_02550	18969
gene:ECOLIN_02555	21275
gene:ECOLIN_02560	1619
gene:ECOLIN_02565	2116
gene:ECOLIN_02570	22
gene:ECOLIN_02575	89
gene:ECOLIN_02580	274
gene:ECOLIN_02585	140
gene:ECOLIN_02590	260
gene:ECOLIN_02595	13
gene:ECOLIN_02600	32
gene:ECOLIN_02605	299
gene:ECOLIN_02610	968
gene:ECOLIN_02620	1148
gene:ECOLIN_02625	2894
gene:ECOLIN_02630	196
gene:ECOLIN_02635	1770
gene:ECOLIN_02640	413
gene:ECOLIN_02645	316
gene:ECOLIN_02650	696
gene:ECOLIN_02655	212
gene:ECOLIN_02660	271
gene:ECOLIN_02665	797
gene:ECOLIN_02670	1891
gene:ECOLIN_02675	1662
gene:ECOLIN_02680	1297
gene:ECOLIN_02685	451
gene:ECOLIN_02690	365
gene:ECOLIN_02700	295
gene:ECOLIN_02705	176
gene:ECOLIN_02710	143
gene:ECOLIN_02715	183
gene:ECOLIN_02720	441
gene:ECOLIN_02725	235
gene:ECOLIN_02730	50787
gene:ECOLIN_02735	817
gene:ECOLIN_02740	502
gene:ECOLIN_02745	78
gene:ECOLIN_02750	101
gene:ECOLIN_02755	631
gene:ECOLIN_02760	61
gene:ECOLIN_02765	784
gene:ECOLIN_02770	162
gene:ECOLIN_02775	324
gene:ECOLIN_02780	453
gene:ECOLIN_02785	9281
gene:ECOLIN_02790	3344
gene:ECOLIN_02795	4573
gene:ECOLIN_02800	1605
gene:ECOLIN_02805	687
gene:ECOLIN_02810	541
gene:ECOLIN_02815	1120
gene:ECOLIN_02820	234
gene:ECOLIN_02830	10356
gene:ECOLIN_02835	167
gene:ECOLIN_02840	194
gene:ECOLIN_02845	68
gene:ECOLIN_02850	95
gene:ECOLIN_02860	34
gene:ECOLIN_02865	34
gene:ECOLIN_02870	3748
gene:ECOLIN_02875	103
gene:ECOLIN_02880	12
gene:ECOLIN_02885	14
gene:ECOLIN_02890	6
gene:ECOLIN_02895	161
gene:ECOLIN_02900	63
gene:ECOLIN_02905	50
gene:ECOLIN_02910	77
gene:ECOLIN_02915	57
gene:ECOLIN_02920	18
gene:ECOLIN_02925	16
gene:ECOLIN_02930	18
gene:ECOLIN_02935	10
gene:ECOLIN_02940	7
gene:ECOLIN_02945	72
gene:ECOLIN_02950	21
gene:ECOLIN_02955	24
gene:ECOLIN_02960	53
gene:ECOLIN_02965	757
gene:ECOLIN_02970	147
gene:ECOLIN_02980	123
gene:ECOLIN_02985	597
gene:ECOLIN_02990	13
gene:ECOLIN_02995	1
gene:ECOLIN_03000	59
gene:ECOLIN_03005	22
gene:ECOLIN_03010	18
gene:ECOLIN_03015	156
gene:ECOLIN_03020	776
gene:ECOLIN_03025	100
gene:ECOLIN_03030	461
gene:ECOLIN_03035	178
gene:ECOLIN_03040	199
gene:ECOLIN_03045	79
gene:ECOLIN_03050	146
gene:ECOLIN_03055	0
gene:ECOLIN_03060	25
gene:ECOLIN_03065	145
gene:ECOLIN_03070	101
gene:ECOLIN_03075	512
gene:ECOLIN_03080	1530
gene:ECOLIN_03085	254
gene:ECOLIN_03090	71
gene:ECOLIN_03095	1107
gene:ECOLIN_03100	191
